"file","line","passed","failed","totalpassed","totalfailed","score","rank"
checkautovariables.cpp,79,1,1,83,1,0.5,197
checkautovariables.cpp,81,1,1,83,1,0.5,197
checkautovariables.cpp,83,1,1,83,1,0.5,197
checkautovariables.cpp,84,1,1,83,1,0.5,197
checkautovariables.cpp,86,1,1,83,1,0.5,197
checkautovariables.cpp,90,1,1,83,1,0.5,197
checkautovariables.cpp,93,1,1,83,1,0.5,197
checkautovariables.cpp,94,1,1,83,1,0.5,197
checkautovariables.cpp,95,1,1,83,1,0.5,197
checkautovariables.cpp,96,1,1,83,1,0.5,197
checkautovariables.cpp,97,1,1,83,1,0.5,197
checkautovariables.cpp,100,1,1,83,1,0.5,197
checkautovariables.cpp,103,1,1,83,1,0.5,197
checkautovariables.cpp,105,1,1,83,1,0.5,197
checkautovariables.cpp,109,1,1,83,1,0.5,197
checkautovariables.cpp,113,1,1,83,1,0.5,197
checkautovariables.cpp,117,1,1,83,1,0.5,197
checkautovariables.cpp,123,1,1,83,1,0.5,197
checkautovariables.cpp,124,1,1,83,1,0.5,197
checkautovariables.cpp,128,1,1,83,1,0.5,197
checkautovariables.cpp,129,1,1,83,1,0.5,197
checkautovariables.cpp,132,1,1,83,1,0.5,197
checkautovariables.cpp,140,1,1,83,1,0.5,197
checkautovariables.cpp,144,1,1,83,1,0.5,197
checkautovariables.cpp,146,1,1,83,1,0.5,197
checkautovariables.cpp,147,1,1,83,1,0.5,197
checkautovariables.cpp,150,1,1,83,1,0.5,197
checkautovariables.cpp,153,1,1,83,1,0.5,197
checkautovariables.cpp,155,1,1,83,1,0.5,197
checkautovariables.cpp,160,1,1,83,1,0.5,197
checkautovariables.cpp,170,1,1,83,1,0.5,197
checkautovariables.cpp,172,1,1,83,1,0.5,197
checkautovariables.cpp,173,1,1,83,1,0.5,197
checkautovariables.cpp,174,1,1,83,1,0.5,197
checkautovariables.cpp,175,1,1,83,1,0.5,197
checkautovariables.cpp,176,1,1,83,1,0.5,197
checkautovariables.cpp,177,1,1,83,1,0.5,197
checkautovariables.cpp,178,1,1,83,1,0.5,197
checkautovariables.cpp,179,1,1,83,1,0.5,197
checkautovariables.cpp,181,1,1,83,1,0.5,197
checkautovariables.cpp,196,1,1,83,1,0.5,197
checkautovariables.cpp,198,1,1,83,1,0.5,197
checkautovariables.cpp,200,1,1,83,1,0.5,197
checkautovariables.cpp,224,1,1,83,1,0.5,197
checkautovariables.cpp,245,1,1,83,1,0.5,197
checkautovariables.cpp,246,1,1,83,1,0.5,197
checkautovariables.cpp,248,1,1,83,1,0.5,197
checkautovariables.cpp,250,1,1,83,1,0.5,197
checkautovariables.cpp,253,1,1,83,1,0.5,197
checkautovariables.cpp,254,1,1,83,1,0.5,197
checkautovariables.cpp,255,1,1,83,1,0.5,197
checkautovariables.cpp,257,1,1,83,1,0.5,197
checkautovariables.cpp,259,1,1,83,1,0.5,197
checkautovariables.cpp,260,1,1,83,1,0.5,197
checkautovariables.cpp,261,1,1,83,1,0.5,197
checkautovariables.cpp,262,1,1,83,1,0.5,197
checkautovariables.cpp,264,1,1,83,1,0.5,197
checkautovariables.cpp,267,1,1,83,1,0.5,197
checkautovariables.cpp,274,1,1,83,1,0.5,197
checkautovariables.cpp,279,1,1,83,1,0.5,197
checkautovariables.cpp,280,1,1,83,1,0.5,197
checkautovariables.cpp,281,1,1,83,1,0.5,197
checkautovariables.cpp,287,1,1,83,1,0.5,197
astutils.cpp,288,1,1,83,1,0.5,197
checkautovariables.cpp,288,1,1,83,1,0.5,197
checkautovariables.cpp,289,1,1,83,1,0.5,197
checkautovariables.cpp,295,1,1,83,1,0.5,197
