"file","function","score","rank"
checkclass.cpp,_ZL20isVariableCopyNeededRK8Variable,0.5,10
checkclass.cpp,_ZN10CheckClass12constructorsEv,0.5,10
checkclass.cpp,_ZN10CheckClass10canNotCopyEPK5Scope,0.5,10
checkclass.cpp,_ZN10CheckClass10canNotMoveEPK5Scope,0.5,10
checkclass.cpp,_ZL21getAllVariableMembersPK5ScopeRNSt7__debug6vectorIPK8VariableSaIS6_EEE,0.5,10
checkclass.cpp,_ZN10CheckClass12assignAllVarERNSt7__debug6vectorINS_5UsageESaIS2_EEE,0.5,10
checkclass.cpp,_ZN10CheckClass17initializeVarListERK8FunctionRNSt7__debug4listIPS1_SaIS5_EEEPK5ScopeRNS3_6vectorINS_5UsageESaISD_EEE,0.5,10
checkclass.cpp,_ZN10CheckClass14uninitVarErrorEPK5TokenbN8Function4TypeERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESC_bb,0.5,10
symboldatabase.cpp,_ZNK8Function9argsMatchEPK5ScopePK5TokenS5_RKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEi,0.5,10
symboldatabase.cpp,_ZN8Function11returnsVoidEPKS_b,0.5,10
symboldatabase.cpp,_ZN14SymbolDatabase33createSymbolDatabaseFindAllScopesEv,0.3333333333333333,25
checkclass.h,_ZN10CheckClass5UsageC2EPK8Variable,0.3333333333333333,25
checkclass.cpp,_ZN10CheckClass15createUsageListEPK5Scope,0.3333333333333333,25
checkclass.cpp,_ZN10CheckClass9assignVarERNSt7__debug6vectorINS_5UsageESaIS2_EEEi,0.3333333333333333,25
checkclass.cpp,_ZN10CheckClass7initVarERNSt7__debug6vectorINS_5UsageESaIS2_EEEi,0.3333333333333333,25
checkclass.cpp,_ZN10CheckClass11clearAllVarERNSt7__debug6vectorINS_5UsageESaIS2_EEE,0.3333333333333333,25
checkclass.cpp,_ZN10CheckClass18operatorEqVarErrorEPK5TokenRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESA_b,0.3333333333333333,25
tokenize.cpp,_ZN9Tokenizer15simplifyTypedefEv,0.3333333333333333,25
templatesimplifier.cpp,_ZZN18TemplateSimplifier14expandTemplateERKNS_12TokenAndNameES2_RKNSt7__debug6vectorIPK5TokenSaIS7_EEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEbEN16newInstantiationC2EPS5_SJ_,0.3333333333333333,25
astutils.cpp,_Z14getLHSVariablePK5Token,0.3333333333333333,25
symboldatabase.cpp,_ZN14SymbolDatabase16addClassFunctionEPP5ScopePPK5TokenS5_,0.3333333333333333,25
valueflow.cpp,_ZZL28valueFlowLifetimeConstructorP5TokenPK4TypeP9TokenListP11ErrorLoggerPK8SettingsENKUlR13LifetimeStoreE_clESC_,0.3333333333333333,25
symboldatabase.cpp,_ZN5Scope15getVariableListEPK8SettingsPK5TokenS5_,0.3333333333333333,25
symboldatabase.cpp,_ZN14SymbolDatabase19findFunctionInScopeEPK5TokenPK5ScopeRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEi,0.3333333333333333,25
tokenize.cpp,_ZN9Tokenizer20removeMacroInVarDeclEv,0.3333333333333333,25
tokenlist.cpp,_ZL8skipDeclP5Token,0.25,38
checkclass.cpp,_ZN10CheckClass18noConstructorErrorEPK5TokenRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEb,0.25,38
symboldatabase.cpp,_ZN14SymbolDatabase39createSymbolDatabaseSetFunctionPointersEb,0.25,38
tokenize.cpp,_ZN9Tokenizer16combineOperatorsEv,0.25,38
templatesimplifier.cpp,_ZN18TemplateSimplifier10getNewNameEP5TokenRNSt7__debug4listINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS9_EEE,0.25,38
valueflow.cpp,_Z17getLifetimeTokensIZ17getLifetimeTokensPK5TokenbNSt7__debug4listISt4pairIS2_NSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEESaISC_EEEEUlS2_E_ENS3_6vectorI13LifetimeTokenSaISH_EEES2_bSE_T_i,0.25,38
templatesimplifier.cpp,_ZN18TemplateSimplifier30simplifyTemplateInstantiationsERKNS_12TokenAndNameERKNSt7__debug4listIPK5TokenSaIS7_EEElRNS3_3setINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4lessISI_ESaISI_EEE,0.25,38
tokenize.cpp,_ZN9Tokenizer13setVarIdPass2Ev,0.25,38
symboldatabase.cpp,_ZNK14SymbolDatabase9findScopeEPK5TokenPK5Scope,0.25,38
symboldatabase.cpp,_ZL9parsedeclPK5TokenP9ValueTypeNS2_4SignEPK8Settings,0.25,38
symboldatabase.cpp,_ZN14SymbolDatabase23setValueTypeInTokenListEbP5Token,0.25,38
symboldatabase.cpp,_ZN9ValueType14matchParameterEPKS_S1_,0.25,38
tokenize.cpp,_ZN9Tokenizer30simplifyVariableMultipleAssignEv,0.25,38
valueflow.cpp,_ZZ9calculateINSt7__debug6vectorIxSaIxEEExET_RKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERKT0_SF_PbENKUlxE_clEx,0.2,54
templatesimplifier.cpp,_ZN18TemplateSimplifier26findTemplateDeclarationEndEP5Token,0.2,54
symboldatabase.cpp,_ZN14SymbolDatabase43createSymbolDatabaseCopyAndMoveConstructorsEv,0.2,54
astutils.cpp,_Z17isConstExpressionPK5TokenRK7Librarybb,0.2,54
astutils.cpp,_Z19findVariableChangedP5TokenPKS_iibPK8Settingsbi,0.2,54
symboldatabase.cpp,_ZNK8Function31constructorMemberInitializationEv,0.2,54
valueflow.cpp,_ZN13LifetimeStore15fromFunctionArgEPK8FunctionP5TokenPK8VariableP9TokenListP11ErrorLogger,0.2,54
templatesimplifier.cpp,_ZN18TemplateSimplifier39fixForwardDeclaredDefaultArgumentValuesEv,0.2,54
valueflow.cpp,_ZNK13LifetimeStore5byValIZNKS_5byValEP5TokenP9TokenListP11ErrorLoggerPK8SettingsEUlPKS1_E_EEbS2_S4_S6_S9_T_,0.2,54
templatesimplifier.cpp,_ZN18TemplateSimplifier17simplifyTemplatesElRb,0.2,54
symboldatabase.cpp,_ZN8Function12addArgumentsEPK14SymbolDatabasePK5Scope,0.2,54
symboldatabase.cpp,_ZL22checkVariableCallMatchPK8VariableS1_RmS2_S2_,0.2,54
symboldatabase.cpp,_ZL13getTypeStringPK5Token,0.2,54
symboldatabase.cpp,_ZZNK5Scope12findFunctionEPK5TokenbENKUlPKS_E_clES4_,0.2,54
symboldatabase.cpp,_ZZNK5Scope12findFunctionEPK5TokenbENKUlS2_E0_clES2_,0.2,54
symboldatabase.cpp,_ZNK14SymbolDatabase12findFunctionEPK5Token,0.2,54
tokenize.cpp,_ZN9Tokenizer14isFunctionHeadEPK5TokenRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEb,0.16666666666666666,67
tokenlist.cpp,_ZL15compileLogicAndRP5TokenR9AST_state,0.16666666666666666,67
valueflow.cpp,_ZL19valueFlowRightShiftP9TokenListPK8Settings,0.16666666666666666,67
astutils.cpp,_ZL23getLHSVariableRecursivePK5Token,0.16666666666666666,67
astutils.cpp,_ZZ12isGlobalDataPK5TokenbENKUlS1_E_clES1_,0.16666666666666666,67
symboldatabase.cpp,_ZN4Type12initBaseInfoEPK5TokenS2_,0.16666666666666666,67
valueflow.cpp,_ZL18valueFlowAfterMoveP9TokenListP14SymbolDatabasePK8Settings,0.16666666666666666,67
tokenize.cpp,_ZL15matchMemberNameRKNSt7__debug4listINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS6_EEEPK5TokenPSB_RKNS0_I10ScopeInfo2SaISF_EEE,0.16666666666666666,67
tokenize.cpp,_ZL15matchMemberNameRKN12_GLOBAL__N_16MemberERKNSt7__debug4listI10ScopeInfo2SaIS5_EEE,0.16666666666666666,67
symboldatabase.cpp,_ZNK5Scope21isVariableDeclarationEPK5TokenRS2_S3_,0.16666666666666666,67
valueflow.cpp,_Z14inferConditionNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEExPK5Token,0.16666666666666666,67
tokenize.cpp,_ZN9Tokenizer25removeMacrosInGlobalScopeEv,0.16666666666666666,67
